Time,Dist
1,21.6933
1,30.6961
1,22.2446
1,9.4112
1,12.7769
1,5.6321
1,5.012
1,4.8549
1,3.4059
1,1.005
2,3.544
2,3.5171
2,3.7643
2,1.9313
2,8.1688
2,2.2671
2,2.7514
2,2.3345
2,7.0576
2,6.14
3,4.272
3,3.1385
3,0
3,1.5264
3,2.7659
3,4.1437
3,3.1385
3,3.2311
3,1.5264
3,4.7297
4,3.9459
4,0
4,3.4015
4,3.1385
4,1.3454
4,3.1385
4,1.0198
4,7.2139
4,3.7108
4,3.7108
5,0.9219
5,1.5264
5,1.2806
5,1.6124
5,4.5343
5,3.7108
5,5.7871
5,4.3566
5,7.4216
5,10.7299
6,12.6491
6,2.4839
6,1.8682
6,6.2032
6,27.133
6,6.9029
6,17.8306
6,14.2443
6,9.5016
6,12.0669
7,2.1024
7,7.3498
7,5.3151
7,9.2114
7,10.9563
7,10.4848
7,12.14
7,9.1006
7,4.5343
7,2.4839
8,3.1623
8,3.1065
8,2.3345
8,0
8,6.3071
8,3.0232
8,5.6321
8,3.0806
8,6.407
8,2.4839
9,0
9,3.6139
9,6.3632
9,2.4042
9,0.8544
9,1.1
9,1.5653
9,4.8836
9,5.8592
9,1.772
10,0
10,0
10,1.4866
10,18.3371
10,0.9219
10,5.5036
10,1.2806
10,2.2091
10,1.8439
10,3.0529
11,6.2968
11,5.7871
11,8.8233
11,5.7009
11,2.0025
11,7.3027
11,3.5511
11,1.6124
11,13.6165
11,1.9647
12,16.7027
12,13.1309
12,7.4216
12,5.7009
12,1.9
12,5.6143
12,11.1759
12,8.5
12,19.4095
12,38.5156
