Pot,Pair,Height,Pollination
Pot1,Pair1,23.5,cross
Pot1,Pair2,12,cross
Pot1,Pair3,21,cross
Pot2,Pair4,22,cross
Pot2,Pair5,19.125,cross
Pot2,Pair6,21.5,cross
Pot3,Pair7,22.125,cross
Pot3,Pair8,20.375,cross
Pot3,Pair9,18.25,cross
Pot3,Pair10,21.625,cross
Pot3,Pair11,23.25,cross
Pot4,Pair12,21,cross
Pot4,Pair13,22.125,cross
Pot4,Pair14,23,cross
Pot4,Pair15,12,cross
Pot1,Pair1,17.375,self
Pot1,Pair2,20.375,self
Pot1,Pair3,20,self
Pot2,Pair4,20,self
Pot2,Pair5,18.375,self
Pot2,Pair6,18.625,self
Pot3,Pair7,18.625,self
Pot3,Pair8,15.25,self
Pot3,Pair9,16.5,self
Pot3,Pair10,18,self
Pot3,Pair11,16.25,self
Pot4,Pair12,18,self
Pot4,Pair13,12.75,self
Pot4,Pair14,15.5,self
Pot4,Pair15,18,self
